id,name,categories,price,weight
d1ee7d35-ca4f-464a-a018-c2797337e50c,Aurora World Flopsie Horse/Jack Plush,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,19599.58,8.0
cfdb6e35-b1f1-4673-a3eb-1b56930f28a5,"Bugatti Chiron 12V Ride On Car. Premium Convertible Bugatti Chiron Style Ride on Car Kids Music,Lights, Doors, RC","Toys & Games | Tricycles, Scooters & Wagons | Ride-On Toys & Accessories",389.99,
f88c6b31-9ae8-47c4-8cb7-9b5660e7a67f,PUMA Evercat The All Star Carrysack,"Clothing, Shoes & Jewelry | Luggage & Travel Gear | Backpacks | Kids' Backpacks",126295.9,5.6
f26853df-d28b-4cd3-941e-6c3ad4662fdb,Duck Tales Gizmoduck Kids Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",59.99,2.0
be5208ef-b2ce-4992-8acd-5aa244c88e43,"Party Banner Balloons 10 Count Marvel's Spider-Man QuickLink Banner Balloons, 12-Inch",Toys & Games | Party Supplies | Balloons,9.09,0.32
6fad6a25-90af-46ff-b21e-d4e40db7e6ad,Disney - Pixar Incredibles Wilson Mini Volleyball,Toys & Games | Novelty & Gag Toys,11.95,7.2
7a1f464b-527b-423f-ba24-75b738e2f797,Redcat Racing 16T/.6 Module Brass Pinion Gear,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Vehicle Bodies & Scale Accessories,6.99,0.32
6e766e4f-d970-49ee-856f-d2b4c6626e49,"Lifetime 71281 In Ground Power Lift Basketball System, 52 Inch Shatterproof Backboard","Sports & Outdoors | Sports & Fitness | Accessories | Field, Court & Rink Equipment | Basketball Court Equipment | Basketball Hoops & Goals | In-Ground",449.99,
9b17c7c5-d3d1-4ee5-a0dd-87f80871e066,"Team Associated 6950 Allen Wrench Set, 0.50, 1/16"", 5/64"", 3/32""",Toys & Games | Hobbies | Hobby Building Tools & Hardware | Hobby Tool Sets,4.48,4.0
00d18651-89a9-4b77-8f50-87f585d6f2a6,Swimline Noodle Fun Seat Pool Float,Toys & Games | Sports & Outdoor Play | Pools & Water Toys,26.47,2.2
c3cab025-fe46-4232-b6eb-a4cbb4a37bd5,"Aquarius Harry Potter Hogwarts 3, 000Pc Puzzle",Toys & Games | Puzzles | Jigsaw Puzzles,29.99,3.44
55ea4f6b-33ac-4cc2-9c2f-6ef14f2a8aee,"Beast Kingdom DS-018 Sorcerer'S Apprentice D-Stage Series Statue, 6"", Multicolor","Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",28.33,9.8
f89d6e36-6392-47c7-90f7-e5ea6e63fdfe,Motormax 1:24 1979 Ford F-150 Pickup Truck,Toys & Games | Play Vehicles,17.99,1.05
e5bd6bdf-471a-4462-a8c9-6038536b9445,Forum Novelties Candy Cane Suspenders,Toys & Games | Party Supplies,8.44,
6fefbb43-c11d-4fb6-ae38-07e8aa37f096,"E-flite Main Wing: UMX Radian, EFLU2920",Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Vehicle Bodies & Scale Accessories | Vehicle Scale Accessories,19.99,1.0
9bd7fcd0-3668-4e11-ad2a-81860d13f0d5,Lionel Racing Brad Keselowski #2 Alliance Truck Parts 2018 Ford Fusion 1:24 Scale Diecast Car,,54.99,1.47
69b96ffe-5643-4834-99fa-08d16c89a67b,"Forum Novelties Crusader King Child Costume, Large",Toys & Games | Dress Up & Pretend Play | Costumes,15.43,11.2
4ae932d8-08c2-402e-91ad-11f1a3b66538,SES Creative Pegboard-Dog Arts and Crafts,Toys & Games | Arts & Crafts,7.99,0.32
b149881d-4e1d-44b1-b9f8-88a79a2fbe5a,"Wild Republic Wilderness, Color & Go, Coloring Books for Toddlers, Stem Activities, 18 Pages",Toys & Games | Arts & Crafts,7.99,0.32
bd0b9875-ddf8-4793-a284-af67fded3df3,"Family-Sized Teepee, Cotton Canvas and Wood - White - 12'H x 9-1/2'W",Toys & Games | Sports & Outdoor Play | Play Tents & Tunnels,376.98,44.1
80d00dcb-6c19-4a13-a91b-77bc4d6c8b8c,"Wallmonkeys GEN-16418-36 WM53182 Cute Baby Green Cartoon Snake Peel and Stick Wall Decals (36 in H x 30 in W), Large",Baby Products | Nursery | Décor | Wall Décor | Stickers,39.96,1.16
ce9da12d-6fa5-4644-8213-1d2362d3fe81,"Flagship Carpets FE102-70A Multiply and Divide Rug, Children's Classroom Educational Carpet, 12'x12', Square",Home & Kitchen | Home Décor | Kids' Room Décor | Rugs,59.99,70.0
33150524-dd41-4eae-922a-7e7af943b2b3,"Ravensburger Disney Villainous Captain Hook 1000 Piece Jigsaw Puzzle for Adults – Every Piece is Unique, Softclick Technology Means Pieces Fit Together Perfectly",Toys & Games | Puzzles | Jigsaw Puzzles,23.81,1.65
094865a4-233e-4888-8f99-66476e68a218,Hula Baby Streamer Party Accessory (1 count) (1/Pkg),Toys & Games | Party Supplies,3.98,5.6
fe7ca1d7-21c3-4345-a96a-2a40ccdd5e1f,LAMAZE Fun with Shapes Soft Baby Book,Toys & Games | Stuffed Animals & Plush Toys,87941.14,3.5
17319434-8943-46d2-9deb-06137135d70e,Edushape Halilit Sounds of the Forest Activity Book,,11.99,7.8
77dc448f-58d2-4f91-b4aa-54ed422da4d0,Bachmann Trains inches 10 inches Conifer Trees 3 Per Box,Toys & Games | Play Vehicles | Play Trains & Railway Sets | Accessories | Buildings & Scenery,16.5,
afc758b6-bc64-4436-a578-d0c3033b261d,Ranger 2 Dylusions Creative Dyary Sticker Book,Toys & Games | Arts & Crafts | Stickers,11.99,5.3
7111f05e-34b9-48ef-88bd-89e15e9029db,amscan Autograph Grad Hat with Pen | Party Favor,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Accessories | Headwear",7.55,5.6
e98bd843-067c-477a-af45-f6acd4c872fe,"Spider-Man Nerf Power Moves Marvel Web Blast Web Shooter Nerf Dart-Launching Toy for Kids Roleplay, Toys for Kids Ages 5 & Up",Toys & Games | Baby & Toddler Toys,8.69,1.0
b452a0cd-48a8-432f-9b6e-53a9bfaca261,"amscan St. Patrick's Day Irish Spirit Earrings, 9 Ct. | Party Accessory",Toys & Games | Dress Up & Pretend Play | Accessories,11.25,4.6
2fc069f2-b643-426a-96a0-283fde26fe09,"Navystar Musical Fun Guitar, Blue",Toys & Games | Baby & Toddler Toys | Musical Toys,14.66,12.8
c44e3f7b-ce4c-4af8-87c0-6e3d864d9e85,Pokemon TCG: Tag Team Giratina & Garchomp | 4 Booster Pack | 1 Metal Tag Team Gx Marker | 1 of 3 Foil Tag Team Pokémon-GX Tin,,24.99,13.8
6f1e0bb6-9705-447c-b452-94347ad512e0,"Forum Novelties Union Officer Child's Costume, Medium","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",21.07,12.8
